workout,exercise,info
chest,chest press,Adjust the machine to chest height; grab the handles and push them forward; squeezing your chest at the end of the movement.
back,cable row,Sit on the cable row machine; adjust the footrests and handles; grab the handles with an overhand grip; pull them towards your lower ribcage while keeping your back straight; then slowly extend your arms back to the starting position.
back,chest supported Row,Lie face down on an incline bench with your chest supported hold dumbbells in each hand with palms facing each other pull the weights up towards your ribcage squeezing your shoulder blades together; then lower them back down with control.
legs,leg press,Sit on the leg press machine place your feet shoulder-width apart on the platform push the platform away from your body until your legs are almost straight; then return to the starting position.
legs,squats,Stand with feet shoulder-width apart lower your body as if sitting back into a chair until your thighs are parallel to the ground then push back up.
arms,curls,Stand with feet shoulder-width apart hold a barbell with an underhand grip; curl the barbell towards your chest then lower it back down
arms,tricep extensions,Stand or sit with a dumbbell or cable attachment held overhead; lower the weight behind your head by bending your elbows while keeping your upper arms still; then extend your arms upwards to straighten them; focusing on the triceps; then return to the starting position.
shoulders,shoulder press,Stand with feet shoulder-width apart; grip the barbell with hands slightly wider than shoulder-width; press the barbell overhead until your arms are straight; then lower it back down.
shoulders,lateral raises,Hold dumbbells by your sides with palms facing in; raise the weights out to the sides until your arms are parallel to the ground; then lower them back down
abs,crunches,Lie on your back with knees bent and feet flat on the floor; place hands behind your head lift your shoulders towards the ceiling using your abdominal muscles; then lower back down
abs,russian twists,Sit on the floor with knees bent and feet lifted off the ground; hold a weight or medicine ball with both hands rotate your torso to one side; then to the other side; while keeping your core engaged.
