workout,exercise,info
chest,bench,Lie on a flat bench; grip the barbell slightly wider than shoulder width apart; lower it to your chest;then press it back up.
back,deadlift,Stand with feet shoulder-width apart; grip a barbell with hands slightly wider than shoulder-width; keeping your back straight; lift the barbell by extending your hips and kneesb
back,pull ups,Hang from a pull-up bar with palms facing away; pull yourself up until your chin clears the bar; then lower yourself back down.
back,bent over Rows,Hold a barbell with an overhand grip; bend your knees slightly; hinge at the hips; and lower your torso until it's almost parallel to the floor; then pull the barbell up towards your lower chest.
legs,squats,Stand with feet shoulder-width apart; lower your body by bending your knees and pushing your hips back; keeping your chest up; then return to standing.
legs,lunges,Step forward with one leg;lower your body until both knees are bent at a 90-degree angle; then push back up to the starting position.
arms,curls,Hold a dumbbell in each hand; palms facing forward; curl the weights towards your shoulders while keeping your upper arms stationary; then lower them back down.
arms,tricep dips,Sit on a bench or chair; grip the edge with hands shoulder-width apart; slide your butt off the bench; lower your body by bending your elbows; then push back up.
shoulders,overhead press,Stand with feet shoulder-width apart; hold a barbell at shoulder height with palms facing forward; press the barbell overhead until your arms are fully extended; then lower it back down.
abs,planks,Start in a push-up position; with elbows bent and forearms resting on the floor; keep your body in a straight line from head to heels; hold this position
abs,ab rollouts,Kneel on the floor with an ab wheel or barbell; roll the wheel or barbell forward while keeping your core tight; then roll it back to the starting position.
abs,leg raises, Hang from a pull-up bar and lift your legs straight up towards your chest; then lower them back down.
